"","...1","laufnummer","site","location_old","order","family","size","ecomorphology","area_pool","human_influence","location","method"
"1",1,97,"Tegel","Control","Trichoptera","Rhyacophilidae",6,2,728,191108.434590873,"Control","kick_net"
"2",2,97,"Tegel","Control","Trichoptera","Rhyacophilidae",19,2,728,191108.434590873,"Control","kick_net"
"3",3,97,"Tegel","Control","Trichoptera","Hydropsychidae",15,2,728,191108.434590873,"Control","kick_net"
"4",4,97,"Tegel","Control","Trichoptera","Sericostomatidae",5,2,728,191108.434590873,"Control","kick_net"
"5",5,97,"Tegel","Control","Trichoptera","Goeridae",2,2,728,191108.434590873,"Control","kick_net"
"6",6,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",2,2,728,191108.434590873,"Control","kick_net"
"7",7,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"8",8,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"9",9,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"10",10,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"11",11,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"12",12,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"13",13,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"14",14,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"15",15,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"Control","kick_net"
"16",16,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"Control","kick_net"
"17",17,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"18",18,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"19",19,97,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"20",20,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"21",21,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"22",22,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"23",23,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"24",24,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"25",25,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"26",26,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"27",27,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"28",28,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"29",29,97,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"30",30,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"31",31,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"32",32,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"33",33,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"34",34,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"35",35,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"36",36,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"37",37,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"38",38,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"39",39,97,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"40",40,97,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"41",41,97,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"42",42,97,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"43",43,97,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"44",44,97,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"45",45,97,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"46",46,97,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"47",47,97,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"48",48,97,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"49",49,97,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"50",50,97,"Tegel","Control","Ephemeroptera","Baetidae",6,2,728,191108.434590873,"Control","kick_net"
"51",51,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"52",52,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"53",53,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"54",54,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"55",55,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"56",56,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"57",57,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"58",58,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"59",59,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"60",60,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"61",61,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"62",62,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"63",63,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"64",64,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"65",65,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
