"","X.1","X","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","point","type","backbone_order","source.x","order_corrected","a","b","source.y","dry_weight"
"1",1,1,"Tegel","Control","Trichoptera","Rhyacophilidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Trichoptera","GBIF","Trichoptera",0.00725212890916693,2.86463833333333,"van_leeuwen_2025",1.22910055905439
"2",2,2,"Tegel","Control","Trichoptera","Rhyacophilidae",19,2,728,191108.434590873,"kick_net",NA,"aquatic","Trichoptera","GBIF","Trichoptera",0.00725212890916693,2.86463833333333,"van_leeuwen_2025",33.3912055793698
"3",3,3,"Tegel","Control","Trichoptera","Hydropsychidae",15,2,728,191108.434590873,"kick_net",NA,"aquatic","Trichoptera","GBIF","Trichoptera",0.0122299552882504,2.8845,"van_leeuwen_2025",30.1897909700927
"4",4,4,"Tegel","Control","Trichoptera","Sericostomatidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Trichoptera","GBIF","Trichoptera",0.0233607159758404,2.28,"van_leeuwen_2025",0.91651116323139
"5",5,5,"Tegel","Control","Trichoptera","Goeridae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Trichoptera","GBIF","Trichoptera",0.0132831806443816,3.41,"van_leeuwen_2025",0.14119338950617
"6",6,6,"Tegel","Control","Ephemeroptera","Ephemerellidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.0569617191820936
"7",7,7,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.173633845162032
"8",8,8,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.173633845162032
"9",9,9,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.173633845162032
"10",10,10,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.173633845162032
"11",11,11,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.382890192175941
"12",12,12,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.382890192175941
"13",13,13,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.382890192175941
"14",14,14,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.382890192175941
