"","site","location","order","family","length","dry_weight","ecomorphology","area_pool","human_influence","method","type"
"1","Tegel","Control","Trichoptera","Rhyacophilidae",6,1.22910055905439,2,728,191108.434590873,"kick_net","aquatic"
"2","Tegel","Control","Trichoptera","Rhyacophilidae",19,33.3912055793698,2,728,191108.434590873,"kick_net","aquatic"
"3","Tegel","Control","Trichoptera","Hydropsychidae",15,30.1897909700927,2,728,191108.434590873,"kick_net","aquatic"
"4","Tegel","Control","Trichoptera","Sericostomatidae",5,0.91651116323139,2,728,191108.434590873,"kick_net","aquatic"
"5","Tegel","Control","Trichoptera","Goeridae",2,0.14119338950617,2,728,191108.434590873,"kick_net","aquatic"
"6","Tegel","Control","Ephemeroptera","Ephemerellidae",2,0.0569617191820936,2,728,191108.434590873,"kick_net","aquatic"
"7","Tegel","Control","Ephemeroptera","Ephemerellidae",3,0.173633845162032,2,728,191108.434590873,"kick_net","aquatic"
"8","Tegel","Control","Ephemeroptera","Ephemerellidae",3,0.173633845162032,2,728,191108.434590873,"kick_net","aquatic"
"9","Tegel","Control","Ephemeroptera","Ephemerellidae",3,0.173633845162032,2,728,191108.434590873,"kick_net","aquatic"
"10","Tegel","Control","Ephemeroptera","Ephemerellidae",3,0.173633845162032,2,728,191108.434590873,"kick_net","aquatic"
"11","Tegel","Control","Ephemeroptera","Ephemerellidae",4,0.382890192175941,2,728,191108.434590873,"kick_net","aquatic"
"12","Tegel","Control","Ephemeroptera","Ephemerellidae",4,0.382890192175941,2,728,191108.434590873,"kick_net","aquatic"
"13","Tegel","Control","Ephemeroptera","Ephemerellidae",4,0.382890192175941,2,728,191108.434590873,"kick_net","aquatic"
"14","Tegel","Control","Ephemeroptera","Ephemerellidae",4,0.382890192175941,2,728,191108.434590873,"kick_net","aquatic"
"15","Tegel","Control","Ephemeroptera","Ephemerellidae",5,0.707077296148592,2,728,191108.434590873,"kick_net","aquatic"
"16","Tegel","Control","Ephemeroptera","Ephemerellidae",5,0.707077296148592,2,728,191108.434590873,"kick_net","aquatic"
"17","Tegel","Control","Ephemeroptera","Ephemerellidae",6,1.16714694178748,2,728,191108.434590873,"kick_net","aquatic"
"18","Tegel","Control","Ephemeroptera","Ephemerellidae",6,1.16714694178748,2,728,191108.434590873,"kick_net","aquatic"
"19","Tegel","Control","Ephemeroptera","Ephemerellidae",6,1.16714694178748,2,728,191108.434590873,"kick_net","aquatic"
"20","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"21","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"22","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"23","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"24","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"25","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"26","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
"27","Tegel","Control","Ephemeroptera","Baetidae",2,0.0522288528220242,2,728,191108.434590873,"kick_net","aquatic"
