"","X","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","point","type"
"1",1,"Tegel","Control","Trichoptera","Rhyacophilidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"2",2,"Tegel","Control","Trichoptera","Rhyacophilidae",19,2,728,191108.434590873,"kick_net",NA,"aquatic"
"3",3,"Tegel","Control","Trichoptera","Hydropsychidae",15,2,728,191108.434590873,"kick_net",NA,"aquatic"
"4",4,"Tegel","Control","Trichoptera","Sericostomatidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"5",5,"Tegel","Control","Trichoptera","Goeridae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"6",6,"Tegel","Control","Ephemeroptera","Ephemerellidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"7",7,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"8",8,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"9",9,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"10",10,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"11",11,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"12",12,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"13",13,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"14",14,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"15",15,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"16",16,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"17",17,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"18",18,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"19",19,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"20",20,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"21",21,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"22",22,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"23",23,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"24",24,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"25",25,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"26",26,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"27",27,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"28",28,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"29",29,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"30",30,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"31",31,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"32",32,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"33",33,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"34",34,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"35",35,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"36",36,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"37",37,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"38",38,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"39",39,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"40",40,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"41",41,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"42",42,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"43",43,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"44",44,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"45",45,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"46",46,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"47",47,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"48",48,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"49",49,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"50",50,"Tegel","Control","Ephemeroptera","Baetidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"51",51,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"52",52,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"53",53,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"54",54,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"55",55,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"56",56,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"57",57,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"58",58,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"59",59,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"60",60,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"61",61,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"62",62,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"63",63,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"64",64,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"65",65,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"66",66,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"67",67,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"68",68,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"69",69,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"70",70,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"71",71,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"72",72,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"73",73,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"74",74,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"75",75,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"76",76,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"77",77,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"78",78,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"79",79,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"80",80,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic"
"81",81,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic"
"82",82,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"83",83,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"84",84,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"85",85,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"86",86,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"87",87,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"88",88,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"89",89,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"90",90,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"91",91,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"92",92,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"93",93,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"94",94,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"95",95,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"96",96,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"97",97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"98",98,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"99",99,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"100",100,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"101",101,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"102",102,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"103",103,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"104",104,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"105",105,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"106",106,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"107",107,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"108",108,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"109",109,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"110",110,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"111",111,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"112",112,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"113",113,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"114",114,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"115",115,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"116",116,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic"
"117",117,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic"
"118",118,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic"
"119",119,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"120",120,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"121",121,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"122",122,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"123",123,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"124",124,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"125",125,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"126",126,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"127",127,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"128",128,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"129",129,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"130",130,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"131",131,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"132",132,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"133",133,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"134",134,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"135",135,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"136",136,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"137",137,"Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"138",138,"Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"139",139,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"140",140,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"141",141,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"142",142,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"143",143,"Tegel","Control","Amphipoda","Gammaridae",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"144",144,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"145",145,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"146",146,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"147",147,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"148",148,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"149",149,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"150",150,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"151",151,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"152",152,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"153",153,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"154",154,"Tegel","Control","Diptera","Psychodidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"155",155,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"156",156,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
