"","site","location","order","family","length","ecomorphology","area_pool","method","human_influence"
"1","Chriesbach","Control","Araneae",NA,2,3,2202,"intercept_trap",131760.231971219
"2","Chriesbach","Control","Araneae",NA,2,3,2202,"intercept_trap",131760.231971219
"3","Chriesbach","Control","Araneae",NA,2,3,2202,"intercept_trap",131760.231971219
"4","Chriesbach","Control","Araneae",NA,2,3,2202,"intercept_trap",131760.231971219
"5","Chriesbach","Control","Coleoptera","Dytiscidae",5,3,2202,"intercept_trap",131760.231971219
"6","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"7","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"8","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"9","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"10","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"11","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"12","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"13","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"14","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"15","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"16","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"17","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"18","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"19","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"20","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"21","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"22","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"23","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"24","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"25","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"26","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"27","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"28","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"29","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"30","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"31","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"32","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"33","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"34","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"35","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"36","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"37","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"38","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"39","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"40","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"41","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"42","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"43","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"44","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"45","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"46","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"47","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"48","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"49","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"50","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"51","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"52","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"53","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"54","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"55","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"56","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"57","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"58","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"59","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"60","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"61","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
"62","Chriesbach","Control","Coleoptera","Curculionidae",2,3,2202,"intercept_trap",131760.231971219
