"","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","a","b","formula_type","dw"
"1","Tegel","Control","Trichoptera","Rhyacophilidae",6,2,728,191108.434590873,"kick_net",0.01,2.48,1,0.850775746890881
"2","Tegel","Control","Trichoptera","Rhyacophilidae",19,2,728,191108.434590873,"kick_net",0.01,2.48,1,14.8357303242854
"3","Tegel","Control","Trichoptera","Hydropsychidae",15,2,728,191108.434590873,"kick_net",0.005,2.926,1,13.8106153107423
"4","Tegel","Control","Trichoptera","Sericostomatidae",5,2,728,191108.434590873,"kick_net",0.007,2.74,1,0.57580555704191
"5","Tegel","Control","Ephemeroptera","Ephemerellidae",2,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.0639081533159318
"6","Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144
"7","Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144
"8","Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144
"9","Tegel","Control","Ephemeroptera","Ephemerellidae",3,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144
"10","Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265
"11","Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265
"12","Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265
"13","Tegel","Control","Ephemeroptera","Ephemerellidae",4,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265
"14","Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.742068047117268
"15","Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",0.01,2.676,1,0.742068047117268
"16","Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",0.01,2.676,1,1.20873958772828
"17","Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",0.01,2.676,1,1.20873958772828
"18","Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",0.01,2.676,1,1.20873958772828
"19","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"20","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"21","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"22","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"23","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"24","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"25","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"26","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"27","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"28","Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.0366801617281868
"29","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"30","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"31","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"32","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"33","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"34","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"35","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"36","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"37","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"38","Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.117677548287684
"39","Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.269086852881189
"40","Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.269086852881189
"41","Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.269086852881189
"42","Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.269086852881189
"43","Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.269086852881189
"44","Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.511103396223714
"45","Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.511103396223714
"46","Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.511103396223714
"47","Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.511103396223714
"48","Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.511103396223714
"49","Tegel","Control","Ephemeroptera","Baetidae",6,2,728,191108.434590873,"kick_net",0.005,2.875,1,0.863286300593756
"50","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"51","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"52","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"53","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"54","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"55","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"56","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"57","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"58","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"59","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"60","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"61","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"62","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"63","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"64","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"65","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"66","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"67","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"68","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"69","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"70","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"71","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"72","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"73","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"74","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"75","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"76","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"77","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"78","Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.439810161615349
"79","Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.699479669405531
"80","Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.699479669405531
"81","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"82","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"83","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"84","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"85","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"86","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"87","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"88","Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0161112888009075
"89","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"90","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"91","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"92","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"93","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"94","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"95","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"96","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"97","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"98","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"99","Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.0545965213646441
"100","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"101","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"102","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"103","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"104","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"105","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"106","Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.129786813413124
"107","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"108","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"109","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"110","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"111","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"112","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"113","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"114","Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.254056147816831
"115","Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.439810161615349
"116","Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.699479669405531
"117","Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",0.002,3.01,1,0.699479669405531
"118","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"119","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"120","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"121","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"122","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"123","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"124","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"125","Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0122950014503041
"126","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"127","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"128","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"129","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"130","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"131","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"132","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"133","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"134","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"135","Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.0355703126940442
"136","Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.07558353033149
"137","Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.07558353033149
"138","Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.135622394240555
"139","Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.135622394240555
"140","Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.135622394240555
"141","Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"kick_net",0.002,2.62,1,0.135622394240555
"142","Tegel","Control","Amphipoda","Gammaridae",1,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.00845
"143","Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.197894293315652
