"","X","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","a","b","formula_type","dw","human_influence_z","counts","xmin","xmax"
"1",1,"Tegel","Control","Trichoptera","Rhyacophilidae",6,"2",728,191108.434590873,"kick_net",0.01,2.48,1,0.850775746890881,1.53020005388967,1,0.129786813413124,17.0281238483793
"2",2,"Tegel","Control","Trichoptera","Rhyacophilidae",19,"2",728,191108.434590873,"kick_net",0.01,2.48,1,14.8357303242854,1.53020005388967,1,0.129786813413124,17.0281238483793
"3",3,"Tegel","Control","Trichoptera","Hydropsychidae",15,"2",728,191108.434590873,"kick_net",0.005,2.926,1,13.8106153107423,1.53020005388967,1,0.129786813413124,17.0281238483793
"4",4,"Tegel","Control","Trichoptera","Sericostomatidae",5,"2",728,191108.434590873,"kick_net",0.007,2.74,1,0.57580555704191,1.53020005388967,1,0.129786813413124,17.0281238483793
"5",6,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144,1.53020005388967,1,0.129786813413124,17.0281238483793
"6",7,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144,1.53020005388967,1,0.129786813413124,17.0281238483793
"7",8,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144,1.53020005388967,1,0.129786813413124,17.0281238483793
"8",9,"Tegel","Control","Ephemeroptera","Ephemerellidae",3,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.189136991919144,1.53020005388967,1,0.129786813413124,17.0281238483793
"9",10,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265,1.53020005388967,1,0.129786813413124,17.0281238483793
"10",11,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265,1.53020005388967,1,0.129786813413124,17.0281238483793
"11",12,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265,1.53020005388967,1,0.129786813413124,17.0281238483793
"12",13,"Tegel","Control","Ephemeroptera","Ephemerellidae",4,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.408425206025265,1.53020005388967,1,0.129786813413124,17.0281238483793
"13",14,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.742068047117268,1.53020005388967,1,0.129786813413124,17.0281238483793
"14",15,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,"2",728,191108.434590873,"kick_net",0.01,2.676,1,0.742068047117268,1.53020005388967,1,0.129786813413124,17.0281238483793
"15",16,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,"2",728,191108.434590873,"kick_net",0.01,2.676,1,1.20873958772828,1.53020005388967,1,0.129786813413124,17.0281238483793
"16",17,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,"2",728,191108.434590873,"kick_net",0.01,2.676,1,1.20873958772828,1.53020005388967,1,0.129786813413124,17.0281238483793
