"","laufnummer","site","location_old","order","family","taxon_lowest","length","ecomorphology","area_pool","human_influence","location","method"
"1",97,"Tegel","Control","Trichoptera","Rhyacophilidae","Rhyacophilidae",6,2,728,191108.434590873,"Control","kick_net"
"2",97,"Tegel","Control","Trichoptera","Rhyacophilidae","Rhyacophilidae",19,2,728,191108.434590873,"Control","kick_net"
"3",97,"Tegel","Control","Trichoptera","Hydropsychidae","Hydropsychidae",15,2,728,191108.434590873,"Control","kick_net"
"4",97,"Tegel","Control","Trichoptera","Sericostomatidae","Sericostomatidae",5,2,728,191108.434590873,"Control","kick_net"
"5",97,"Tegel","Control","Trichoptera","Goeridae","Goeridae",2,2,728,191108.434590873,"Control","kick_net"
"6",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",2,2,728,191108.434590873,"Control","kick_net"
"7",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"8",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"9",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"10",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",3,2,728,191108.434590873,"Control","kick_net"
"11",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"12",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"13",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"14",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",4,2,728,191108.434590873,"Control","kick_net"
"15",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",5,2,728,191108.434590873,"Control","kick_net"
"16",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",5,2,728,191108.434590873,"Control","kick_net"
"17",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"18",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"19",97,"Tegel","Control","Ephemeroptera","Ephemerellidae","Ephemerellidae",6,2,728,191108.434590873,"Control","kick_net"
"20",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"21",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"22",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"23",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"24",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"25",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"26",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"27",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"28",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"29",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",2,2,728,191108.434590873,"Control","kick_net"
"30",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"31",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"32",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"33",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"34",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"35",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"36",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"37",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"38",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"39",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",3,2,728,191108.434590873,"Control","kick_net"
"40",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"41",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"42",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"43",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"44",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",4,2,728,191108.434590873,"Control","kick_net"
"45",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"46",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"47",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"48",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"49",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",5,2,728,191108.434590873,"Control","kick_net"
"50",97,"Tegel","Control","Ephemeroptera","Baetidae","Baetidae",6,2,728,191108.434590873,"Control","kick_net"
"51",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"52",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"53",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"54",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"55",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"56",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"57",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"58",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"59",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"60",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"61",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"62",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"63",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"64",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"65",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"66",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"67",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"68",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"69",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"70",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"71",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"72",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"73",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"74",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"75",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"76",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"77",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"78",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"79",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",6,2,728,191108.434590873,"Control","kick_net"
"80",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"81",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"82",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"83",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"84",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"85",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"86",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"87",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"88",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"89",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"90",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"91",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"92",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"93",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"94",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"95",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"96",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"97",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"98",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"99",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"100",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"101",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"102",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"103",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"104",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"105",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"106",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"107",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"108",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"109",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"110",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"111",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"112",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"113",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"114",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"115",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"116",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",6,2,728,191108.434590873,"Control","kick_net"
"117",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"118",97,"Tegel","Control","Diptera","Simuliidae","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"119",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"120",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"121",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"122",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"123",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"124",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"125",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"126",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"127",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"128",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"129",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"130",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"131",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"132",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"133",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"134",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"135",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"136",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"137",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",4,2,728,191108.434590873,"Control","kick_net"
"138",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",4,2,728,191108.434590873,"Control","kick_net"
"139",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"140",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"141",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"142",97,"Tegel","Control","Diptera","Chironomidae","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"143",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",1,2,728,191108.434590873,"Control","kick_net"
"144",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"145",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"146",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"147",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"148",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"149",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"150",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"151",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"152",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"153",97,"Tegel","Control","Amphipoda","Gammaridae","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"154",97,"Tegel","Control","Diptera","Psychodidae","Psychodidae",2,2,728,191108.434590873,"Control","kick_net"
"155",97,"Tegel","Control","Diptera","Psychodidae","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"156",97,"Tegel","Control","Diptera","Psychodidae","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"157",97,"Tegel","Control","Diptera","Psychodidae","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"158",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"159",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"160",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"161",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"162",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"163",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"164",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"165",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"166",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"167",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"168",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"169",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"170",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"171",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"172",97,"Tegel","Control","Arachnida","Hydracarina","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"173",97,"Tegel","Control","Oligochaeta",NA,"Oligochaeta",2,2,728,191108.434590873,"Control","kick_net"
"174",97,"Tegel","Control","Oligochaeta",NA,"Oligochaeta",2,2,728,191108.434590873,"Control","kick_net"
