"","site","location","point","order","family","length","ecomorphology","area_pool","human_influence","method"
"1","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"2","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"3","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"4","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"5","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"6","Chriesbach","Inflow","1","Diptera",NA,5,3,2202,131760.231971219,"suction"
"7","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"8","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"9","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"10","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"11","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"12","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"13","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"14","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"15","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"16","Chriesbach","Inflow","1","Hymenoptera",NA,4,3,2202,131760.231971219,"suction"
"17","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"18","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"19","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"20","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"21","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"22","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"23","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"24","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"25","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"26","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"27","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"28","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"29","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"30","Chriesbach","Inflow","1","Trichoptera",NA,5,3,2202,131760.231971219,"suction"
"31","Chriesbach","Inflow","1","Psocoptera",NA,1,3,2202,131760.231971219,"suction"
"32","Chriesbach","Inflow","1","Psocoptera",NA,1,3,2202,131760.231971219,"suction"
"33","Chriesbach","Inflow","1","Dermaptera",NA,4,3,2202,131760.231971219,"suction"
"34","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"35","Chriesbach","Inflow","1","Hemiptera",NA,1,3,2202,131760.231971219,"suction"
"36","Chriesbach","Inflow","1","Hemiptera",NA,1,3,2202,131760.231971219,"suction"
"37","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"38","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",4,3,2202,131760.231971219,"suction"
"39","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",4,3,2202,131760.231971219,"suction"
"40","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",3,3,2202,131760.231971219,"suction"
"41","Chriesbach","Inflow","1","Coleoptera",NA,3,3,2202,131760.231971219,"suction"
"42","Chriesbach","Inflow","1","Coleoptera",NA,3,3,2202,131760.231971219,"suction"
"43","Chriesbach","Inflow","1","Coleoptera",NA,3,3,2202,131760.231971219,"suction"
"44","Chriesbach","Inflow","1","Hemiptera","Aphididae",1,3,2202,131760.231971219,"suction"
"45","Chriesbach","Inflow","1",NA,NA,1,3,2202,131760.231971219,"suction"
"46","Chriesbach","Inflow","1","Araneae",NA,4,3,2202,131760.231971219,"suction"
"47","Chriesbach","Inflow","1","Araneae",NA,3,3,2202,131760.231971219,"suction"
"48","Chriesbach","Inflow","1","Araneae",NA,3,3,2202,131760.231971219,"suction"
"49","Chriesbach","Inflow","1","Araneae",NA,3,3,2202,131760.231971219,"suction"
"50","Chriesbach","Inflow","1","Araneae",NA,3,3,2202,131760.231971219,"suction"
"51","Chriesbach","Inflow","1","Araneae",NA,3,3,2202,131760.231971219,"suction"
"52","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"53","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"54","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"55","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"56","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"57","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"58","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"59","Chriesbach","Inflow","1","Araneae",NA,2,3,2202,131760.231971219,"suction"
"60","Chriesbach","Inflow","1","Araneae",NA,1,3,2202,131760.231971219,"suction"
"61","Chriesbach","Inflow","1","Araneae",NA,1,3,2202,131760.231971219,"suction"
"62","Chriesbach","Inflow","1","Araneae",NA,1,3,2202,131760.231971219,"suction"
"63","Chriesbach","Inflow","1","Araneae",NA,1,3,2202,131760.231971219,"suction"
"64","Chriesbach","Inflow","1","Acari",NA,1,3,2202,131760.231971219,"suction"
"65","Chriesbach","Inflow","1","Acari",NA,1,3,2202,131760.231971219,"suction"
"66","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"67","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"68","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"69","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"70","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"71","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"72","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"73","Chriesbach","Inflow","1","Isopoda",NA,4,3,2202,131760.231971219,"suction"
