sample,site,laufnummer,land_use_km2
Control_aquatic,Biber,125,0.032181648951764216
Control_aquatic,Chriesbach,137,0.08057439225747609
Control_aquatic,Coruz,209,0.13532199105437007
Control_aquatic,Ellikon,105,0.046834859667711504
Control_aquatic,Gaebelbach,161,0.06981523930091142
Control_aquatic,Gile,101,0.09214556474821785
Control_aquatic,Haslibach,185,0.17617875074860134
Control_aquatic,Hemishofen,109,0.14286189709804054
Control_aquatic,Leugene,149,0.028850085877575798
Control_aquatic,Logge,117,0.13892593169101722
Control_aquatic,Nider,113,0.1973743734146188
Control_aquatic,Riedgrabe,197,0.1253242904742818
Control_aquatic,Rot,121,0.12937701407517618
Control_aquatic,Talent,221,0.1963487196456536
Control_aquatic,Tegel,97,0.005784794756262918
Control_aquatic,Weierbach,173,0.08294406015103283
Inflow_aquatic,Biber,126,NA
Inflow_aquatic,Chriesbach,138,NA
Inflow_aquatic,Coruz,210,NA
Inflow_aquatic,Ellikon,106,NA
Inflow_aquatic,Gaebelbach,162,NA
Inflow_aquatic,Gile,102,NA
Inflow_aquatic,Haslibach,186,NA
Inflow_aquatic,Hemishofen,110,NA
Inflow_aquatic,Leugene,150,NA
Inflow_aquatic,Logge,118,NA
Inflow_aquatic,Nider,114,NA
Inflow_aquatic,Riedgrabe,198,NA
Inflow_aquatic,Rot,122,NA
Inflow_aquatic,Talent,222,NA
Inflow_aquatic,Tegel,98,NA
Inflow_aquatic,Weierbach,174,NA
Outflow_aquatic,Biber,128,NA
Outflow_aquatic,Chriesbach,140,NA
Outflow_aquatic,Coruz,212,NA
Outflow_aquatic,Ellikon,108,NA
Outflow_aquatic,Gaebelbach,164,NA
Outflow_aquatic,Gile,104,NA
Outflow_aquatic,Haslibach,188,NA
Outflow_aquatic,Hemishofen,112,NA
Outflow_aquatic,Leugene,152,NA
Outflow_aquatic,Logge,120,NA
Outflow_aquatic,Nider,116,NA
Outflow_aquatic,Riedgrabe,200,NA
Outflow_aquatic,Rot,124,NA
Outflow_aquatic,Talent,224,NA
Outflow_aquatic,Tegel,100,NA
Outflow_aquatic,Weierbach,176,NA
Pool_aquatic,Biber,127,0.06656503276001453
Pool_aquatic,Chriesbach,139,0.06269276890456933
Pool_aquatic,Coruz,211,0.13854873516982744
Pool_aquatic,Ellikon,107,0.10388476150943791
Pool_aquatic,Gaebelbach,163,0.12104412196229479
Pool_aquatic,Gile,103,0.0663455133248884
Pool_aquatic,Haslibach,187,0.18445330513877203
Pool_aquatic,Hemishofen,111,0.17327978230513388
Pool_aquatic,Leugene,151,0.04155505912221065
Pool_aquatic,Logge,119,0.18966528044733513
Pool_aquatic,Nider,115,0.21191061698170446
Pool_aquatic,Riedgrabe,199,0.15283644336188645
Pool_aquatic,Rot,123,0.0875811212299855
Pool_aquatic,Talent,223,0.19529962245520602
Pool_aquatic,Tegel,99,0.008902053206127228
Pool_aquatic,Weierbach,175,0.15057170965534902
