"","site","community","agriculture","urban","natural","human_influence"
"1","Biber","amphibians",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"2","Biber","aquatic_invertebrates",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"3","Biber","arthropods_terrestrial",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"4","Biber","dragonflies",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"5","Biber","fish",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"6","Biber","macrophytes",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"7","Biber","plankton",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"8","Biber","plants_terrestrial",140111.58842153,36229.8348384432,20008.0784532448,176341.423259974
"9","Chriesbach","amphibians",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"10","Chriesbach","aquatic_invertebrates",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"11","Chriesbach","arthropods_flying",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"12","Chriesbach","arthropods_terrestrial",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"13","Chriesbach","bats",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"14","Chriesbach","dragonflies",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"15","Chriesbach","fish",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"16","Chriesbach","macrophytes",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"17","Chriesbach","plankton",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"18","Chriesbach","plants_terrestrial",39662.7138378728,92097.5181333465,64589.2675231141,131760.231971219
"19","Coruz","amphibians",81762.087836696,3593.195,110994.213728453,85355.282836696
"20","Coruz","aquatic_invertebrates",81762.087836696,3593.195,110994.213728453,85355.282836696
"21","Coruz","arthropods_flying",81762.087836696,3593.195,110994.213728453,85355.282836696
"22","Coruz","arthropods_terrestrial",81762.087836696,3593.195,110994.213728453,85355.282836696
"23","Coruz","bats",81762.087836696,3593.195,110994.213728453,85355.282836696
"24","Coruz","dragonflies",81762.087836696,3593.195,110994.213728453,85355.282836696
"25","Coruz","fish",81762.087836696,3593.195,110994.213728453,85355.282836696
"26","Coruz","macrophytes",81762.087836696,3593.195,110994.213728453,85355.282836696
"27","Coruz","plankton",81762.087836696,3593.195,110994.213728453,85355.282836696
"28","Coruz","plants_terrestrial",81762.087836696,3593.195,110994.213728453,85355.282836696
"29","Ellikon","amphibians",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"30","Ellikon","aquatic_invertebrates",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"31","Ellikon","arthropods_terrestrial",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"32","Ellikon","dragonflies",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"33","Ellikon","fish",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"34","Ellikon","macrophytes",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"35","Ellikon","plankton",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"36","Ellikon","plants_terrestrial",116049.097175762,14537.4333861158,65762.9708943454,130586.530561878
"37","Gaebelbach","amphibians",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"38","Gaebelbach","aquatic_invertebrates",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"39","Gaebelbach","arthropods_flying",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"40","Gaebelbach","arthropods_terrestrial",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"41","Gaebelbach","bats",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"42","Gaebelbach","dragonflies",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"43","Gaebelbach","fish",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"44","Gaebelbach","macrophytes",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"45","Gaebelbach","plankton",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"46","Gaebelbach","plants_terrestrial",142375.06498751,34580.307884156,19394.1269274109,176955.372871666
"47","Gile","amphibians",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"48","Gile","aquatic_invertebrates",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"49","Gile","arthropods_terrestrial",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"50","Gile","dragonflies",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"51","Gile","fish",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"52","Gile","macrophytes",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"53","Gile","plankton",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"54","Gile","plants_terrestrial",102632.988546544,28936.3302679317,64780.1807338924,131569.318814475
"55","Haslibach","amphibians",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"56","Haslibach","aquatic_invertebrates",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
