"family","order","a","b","source"
"Gammaridae","Amphipoda",0.052,2.658,"Benke et al. (1999)"
"Psychodidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Hydracarina","Arachnida",0.027,3.011,"Benke et al. (1999)"
"Hydrobiidae","Gastropoda",0.054,2.518,"Benke et al. (1999)"
"Curculionidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Asellidae","Isopoda",0.058,2.63,"Benke et al. (1999)"
"Sphaeriidae","Bivalvia",0.009,2.766,"Benke et al. (1999)"
"Physidae","Gastropoda",0.054,2.518,"Benke et al. (1999)"
"Lymnaeidae","Gastropoda",0.054,2.518,"Benke et al. (1999)"
"Dixidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Culicidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Bithyniidae","Gastropoda",0.054,2.518,"Benke et al. (1999)"
"Dugesiidae","Platyhelminthes",0.015,2.45,"Benke et al. (1999)"
"Scirtidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Glossiphoniidae","Hirudinea",0.013,3.125,"Benke et al. (1999)"
"Erpobdellidae","Hirudinea",0.013,3.125,"Benke et al. (1999)"
"Stratiomyidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Anthomyiidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Notonectidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Pleidae","Heteroptera",0.008,2.92,"Benke et al. (1999)"
"Ancylidae","Gastropoda",0.054,2.518,"Benke et al. (1999)"
"Astacidae","Decapoda",0.012,2.77,"Benke et al. (1999)"
"Syrphidae","Diptera",0.0028,3.398,"Benke et al. (1999)"
"Platycnemididae","Odonata",0.008,3.05,"Benke et al. (1999)"
"Dryopidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Nepidae","Heteroptera",0.008,2.92,"Benke et al. (1999)"
"Naucoridae","Heteroptera",0.008,2.92,"Benke et al. (1999)"
"Cantharidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Coccinellidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Latridiidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Staphylinidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Aphidoidea","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Panorpidae","Mecoptera",0.002,3.12,"Rogers et al. (1976)"
"Carabidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Formicidae","Hymenoptera",0.002,3.05,"Rogers et al. (1976)"
"Vespidae","Hymenoptera",0.002,3.05,"Rogers et al. (1976)"
"Cucujidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Nitidulidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Mordellidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Monotomidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Forficulidae","Dermaptera",0.01,2.88,"Rogers et al. (1976)"
"Psylloidea","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Phalacridae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Erebidae","Lepidoptera",0.018,2.95,"Rogers et al. (1976)"
"Aphididae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Julidae","Julida",0.018,2.87,"Rogers et al. (1976)"
"Cerambycidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Hemerobiidae","Neuroptera",0.002,3.12,"Rogers et al. (1976)"
"Coccoidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Oniscidae","Isopoda",0.058,2.63,"Benke et al. (1999)"
"Apionidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Mymaridae","Hymenoptera",0.002,3.05,"Rogers et al. (1976)"
"Psylliodes","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Thripidae","Thysanoptera",0.002,3.12,"Rogers et al. (1976)"
"Apoidea","Hymenoptera",0.002,3.05,"Rogers et al. (1976)"
"Pentatomidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Delphacidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Nabidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Ixodidae","Ixodida",0.027,3.011,"Benke et al. (1999)"
"Thomisidae","Araneae",0.027,3.011,"Benke et al. (1999)"
"Sphaeriusidae","Coleoptera",0.018,2.87,"Rogers et al. (1976)"
"Parasitidae","Acari",0.027,3.011,"Benke et al. (1999)"
"Salticidae","Araneae",0.027,3.011,"Benke et al. (1999)"
"Enchytraeidae","Enchytraeida",0.018,2.87,"Rogers et al. (1976)"
"Polydesmidae","Polydesmida",0.018,2.87,"Rogers et al. (1976)"
"Lithobiidae","Lithobiomorpha",0.01,2.88,"Rogers et al. (1976)"
"Phalangiidae","Opiliones",0.027,3.011,"Benke et al. (1999)"
"Lepismatidae","Zygentoma",0.001,3.2,"Rogers et al. (1976)"
"Phlaeothripidae","Thysanoptera",0.002,3.12,"Rogers et al. (1976)"
