order,a,b,family
Araneae (webbuilding),-0.777,2.693,
Araneae (hunting),-0.501,2.256,
Coleoptera (larvae),-1.241,2.22,
Coleoptera (other),-0.915,2.581,
Coleoptera (Staphylinidae),-1.578,2.635,
Diptera (Brachycera),-1.052,2.499,
Diptera (Nematocera),-1.215,2.35,
Glomerida,-0.747,2.51,
Hemiptera (Heteroptera),-0.906,2.373,
Hemiptera (other),-0.977,2.65,
Hemiptera (juvenile),-1.056,2.932,
Hymenoptera 1,-1.309,2.744,Formicidae
Hymenoptera 1,-1.309,2.744,Dryinidae
Hymenoptera 1,-1.309,2.744,Muttilidae
Hymenoptera 1,-1.309,2.744,Embolemidae
Hymenoptera 2,-1.117,2.73,Apidae
Hymenoptera 2,-1.117,2.73,Colletidae
Hymenoptera 2,-1.117,2.73,Megachilidae
Hymenoptera 2,-1.117,2.73,Pamphilidae
Hymenoptera 2,-1.117,2.73,Scoliidae
Hymenoptera 2,-1.117,2.73,Sphecidae
Hymenoptera 2,-1.117,2.73,Tenthredinidae
Hymenoptera 2,-1.117,2.73,Vespidae
Hymenoptera 3,-1.53,2.929,Ceraphronidae
Hymenoptera 3,-1.53,2.929,Chalcididae
Hymenoptera 3,-1.53,2.929,Diapriidae
Hymenoptera 3,-1.53,2.929,Eulophidae
Hymenoptera 3,-1.53,2.929,Eupelmidae
Hymenoptera 3,-1.53,2.929,Eurytomidae
Hymenoptera 3,-1.53,2.929,Evaniidae
Hymenoptera 3,-1.53,2.929,Perilampidae
Hymenoptera 3,-1.53,2.929,Proctotrupidae
Hymenoptera 3,-1.53,2.929,Scelionidae
Hymenoptera 4,-1.197,2.379,Ichneumonidae
Hymenoptera 5,-1.345,2.771,Bethylidae
Hymenoptera 5,-1.345,2.771,Braconidae
Hymenoptera 5,-1.345,2.771,Gasteruptiidae
Hymenoptera 5,-1.345,2.771,Tiphiidae
Julida,-1.784,2.591,
