order,family,genus,species,tax_resolution,a,b,n,minimum_size,maximum_size,continent,region_detail,source publication,relation,original_a,orginal_a_SE,orginal_ln_a,orginal_ln_a_SE,orginal_b,orginal_b_SE,notes
Plecoptera,Leuctridae,Leuctra,,genus,0.000531398,4.03,6,6.46,9.17,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-7.54,1.74,4.03,0.84,
Trichoptera,Leptoceridae,Ceraclea,,genus,0.001281146,4.636,6,2.23,4.56,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-6.66,0.66,4.636,0.55,
Trichoptera,Psychomyiidae,Tinodes,Tinodes waeneri,species,0.002739445,2.54,46,2.24,14.62,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.9,0.18,2.54,0.09,
Diptera,Orthocladiinae,,,family,0.003447865,2.36,32,3.21,9.86,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.67,0.62,2.36,0.38,
Diptera,Chironominae,,,family,0.004700906,1.82,41,2.01,14.03,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.36,0.49,1.82,0.29,
Trichoptera,Leptoceridae,Athripsodes,Athripsodes atterimus,species,0.00484407,2.32,55,3.21,13.9,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.33,0.52,2.32,0.27,
Ephemeroptera,Leptophlebiidae,Leptophlebia,Leptophlebia vespertina,species,0.005092431,2.75,99,1.15,6.3,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.28,0.21,2.75,0.16,
Trichoptera,Hydroptilidae,Hydroptila,,genus,0.006036083,2.46,10,2.9,4.28,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-5.11,0.41,2.46,0.33,
Ephemeroptera,Baetidae,Baetis,,genus,0.007083409,2.15,18,1.86,7.69,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.95,0.58,2.15,0.4,
Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus dispar,species,0.010254896,2.73,3.33,13.84,,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.58,0.34,2.73,0.15,
Trichoptera,Polycentropodidae,Polycentropus,Polycentropus flavomaculatus,species,0.012155178,2.57,15,1.8,4.17,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.41,1.08,2.57,0.94,
Trichoptera,Leptoceridae,Ceraclea,,genus,0.014122302,2.35,9,4.46,10.6,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.26,1.07,2.35,0.55,
Diptera,Ceratopogonidae,,,family,0.016082879,1.12,4,4.2,8.6,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.13,0.05,1.12,0.03,
Ephemeroptera,Baetidae,Centroptilum,Centroptilum luteolum,species,0.017952965,2.93,18,2.27,4.9,Europe,Lake Constance,Baumgartner & Rothaupt 2003,linear model natural log,,,-4.02,0.2,2.93,0.17,
Diptera,Simuliidae,Simulium,Simulium tuberosum,species,0.00025,3.342,70,,,North America,,Benke 1999,power model,0.00025,0.00013,,,3.342,0.093,
Diptera,Simuliidae,Stegopterna,Stegopterna mutata,species,0.00042,3.83,169,,,North America,,Benke 1999,power model,0.00042,0.00011,,,3.83,0.14,
