laufnummer,site,sample,taxon,family,taxon_lowest,size,author
97,Tegel,Control_aquatic,Trichoptera,Rhyacophilidae,Rhyacophilidae,6,Patrick Hofmann
97,Tegel,Control_aquatic,Trichoptera,Rhyacophilidae,Rhyacophilidae,19,Patrick Hofmann
97,Tegel,Control_aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,15,Patrick Hofmann
97,Tegel,Control_aquatic,Trichoptera,Sericostomatidae,Sericostomatidae,5,Patrick Hofmann
97,Tegel,Control_aquatic,Trichoptera,Goeridae,Goeridae,2,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,2,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,3,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,3,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,3,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,3,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,4,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,4,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,4,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,4,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,5,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,5,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,6,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,6,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,6,Patrick Hofmann
97,Tegel,Control_aquatic,Ephemeroptera,Baetidae,Baetidae,2,Patrick Hofmann
