common_name,genus,species,trophic_guild
Skipjack herring,NA,NA,NA
Threadfin shad,Dorosoma,Dorosoma petenense,NA
White carppie,NA,NA,NA
Golden shiner,Notemigonus,Notemigonus crysoleucas,NA
White perch,Morone,Morone americana,NA
Pumpkinseed,Lepomis,Lepomis gibbosus,NA
Green sunfish,Lepomis,Lepomis cyanellus,NA
Warmouth,NA,NA,NA
Yellow bullhead,Ameiurus,Ameiurus natalis,NA
Black bullhead,Ameiurus,Ameiurus melas,NA
NA,NA,NA,NA
Brown bullhead,Ameiurus,Ameiurus nebulosus,NA
American eel,Anguilla,Anguilla rostrata,NA
Striped or white bass,NA,NA,NA
Grass pickerel,Esox,Esox americanus,NA
Green or bluegill sunfish,NA,NA,NA
Chestnut lamprey,NA,NA,NA
Bighead carp,Hypophthalmichthys,Hypophthalmichthys nobilis,NA
Northern pike,Esox,Esox lucius,NA
Paddlefish,NA,NA,NA
Green or warmouth sunfish,NA,NA,NA
Green or redear sunfish,NA,NA,NA
Tiger muskellunge,NA,NA,NA
Pumpkinseed or bluegill,NA,NA,NA
Brook silverside,Labidesthes,Labidesthes sicculus,NA
Stonecat,Noturus,Noturus flavus,NA
Northern hog sucker,Hypentelium,Hypentelium nigricans,NA
