species,feeding_type
Ameiurus melas,hunting macrofauna (predator)
Ameiurus natalis,hunting macrofauna (predator)
Ameiurus nebulosus,hunting macrofauna (predator)
Alosa chrysochloris,hunting macrofauna (predator)
Alosa pseudoharengus,hunting macrofauna (predator)
Ambloplites rupestris,hunting macrofauna (predator)
Amia calva,hunting macrofauna (predator)
Anguilla rostrata,hunting macrofauna (predator)
Aplodinotus grunniens,hunting macrofauna (predator)
Carassius auratus,grazing on aquatic plants
Carpiodes carpio,NA
Carpiodes cyprinus,NA
Catostomus commersonii,hunting macrofauna (predator)
Clupanodon thrissa,NA
Ctenopharyngodon idella,browsing on substrate
Cyprinus carpio,hunting macrofauna (predator)
Dorosoma petenense,selective plankton feeding
Esox americanus,hunting macrofauna (predator)
Esox lucius,hunting macrofauna (predator)
Esox masquinongy,hunting macrofauna (predator)
Hiodon alosoides,NA
Hiodon tergisus,hunting macrofauna (predator)
Hypentelium nigricans,NA
Hypophthalmichthys molitrix,grazing on aquatic plants
Hypophthalmichthys nobilis,variable
Ictalurus furcatus,NA
Ictalurus punctatus,variable
Ictiobus bubalus,hunting macrofauna (predator)
Ictiobus cyprinellus,NA
Ictiobus niger,hunting macrofauna (predator)
Labidesthes sicculus,hunting macrofauna (predator)
Lepisosteus oculatus,hunting macrofauna (predator)
Lepisosteus osseus,hunting macrofauna (predator)
Lepomis cyanellus,NA
Lepomis gibbosus,hunting macrofauna (predator)
Lepomis gulosus,hunting macrofauna (predator)
Lepomis macrochirus,hunting macrofauna (predator)
Lepomis megalotis,hunting macrofauna (predator)
Macrhybopsis storeriana,NA
Micropterus punctulatus,hunting macrofauna (predator)
Micropterus salmoides,hunting macrofauna (predator)
Micropterus dolomieu,hunting macrofauna (predator)
Minytrema melanops,hunting macrofauna (predator)
Morone americana,hunting macrofauna (predator)
Morone chrysops,hunting macrofauna (predator)
Morone saxatilis,hunting macrofauna (predator)
Moxostoma anisurum,NA
Moxostoma carinatum,hunting macrofauna (predator)
Moxostoma erythrurum,NA
Moxostoma macrolepidotum,NA
Notemigonus crysoleucas,variable
Noturus flavus,NA
Pomoxis annularis,hunting macrofauna (predator)
Pomoxis nigromaculatus,hunting macrofauna (predator)
Pylodictis olivaris,hunting macrofauna (predator)
Sander canadensis,hunting macrofauna (predator)
Sander vitreus,hunting macrofauna (predator)
