common_name,genus,species
Bluegill redear,Lepomis,NA
Chestnut lamprey,Ichthyomyzon,Ichthyomizon castaneus
Moxostoma spp,Mosostoma,NA
Skipjack herring,Alosa,Alosa chrysochloris
White striped bass hybrid,Morone,NA
White crappie,Pomoxis,Pomoxis annularis
Warmouth,Lepomis,Lepomis gulosus
Lamprey family,NA,NA
Rock bass,Ambloplites,Ambloplites rupestris
Saugeye,Sander,Sander canadensis
Northern hogsucker,Hypentelium,Hypentelium nigricans
White carppie,Pomoxis,Pomoxis annularis
NA,NA,NA
Striped or white bass,Morone,NA
Green or bluegill sunfish,Lepomis,NA
Paddlefish,NA,NA
Green or warmouth sunfish,Lepomis,NA
Green or redear sunfish,Lepomis,NA
Tiger muskellunge,Esox,NA
Pumpkinseed or bluegill,Lepomis,NA
