species
YOYF= Age-0 fish
ALSD= Alabama shad
ALWF= Alewife

ASNT= Alligator snapping turtle
ABLP= American brook lamprey
AMEL= American eel
BDDR= Banded darter
BDKF= Banded killifish
BPSF= Banded pygmy sunfish
BDSP= Banded sculpin
BTSF= Bantam sunfish
BECB= Bigeye chub
BESN= Bigeye shiner
BHCP= Bighead carp
BMBF= Bigmouth buffalo
BMSN= Bigmouth shiner
BKBF= Black buffalo
BKBH= Black bullhead
BKCP= Black crappie
BCWC= Black x white crappie
BKRH= Black redhorse
BCSN= Blackchin shiner
BNDC= Blacknose dace
BNSN= Blacknose shiner
BSDR= Blackside darter
BPTM= Blackspotted topminnow
BTTM= Blackstripe topminnow
BTSN= Blacktail shiner
BLDT= Blanding's turtle
BLTR= Bloater
BLCF= Blue catfish
BUSK= Blue sucker
BBDR= Bluebreast darter
BLGL= Bluegill
BGLE= Bluegill x longear sunfish
BGOS= Bluegill x orangespotted sunfish
BGRS= Bluegill x redear sunfish
BGWM= Bluegill x warmouth
BHSN= Bluehead shiner
BNDR= Bluntnose darter
BNMW= Bluntnose minnow
BWFN= Bowfin
BSMW= Brassy minnow
BDMT= Brindled madtom
BKSS= Brook silverside
BKSB= Brook stickleback
BKTT= Brook trout
BNBH= Brown bullhead
BNTT= Brown trout

BHMW= Bullhead minnow
BRBT= Burbot

C*GF= Carp x goldfish hybrid
CMMW= Central mudminnow
CMSR= Central stoneroller
CLSR= Central stoneroller
CNPK= Chain pickerel
CNCF= Channel catfish
CNSN= Channel shiner
CNLP= Chestnut lamprey
CSCO= Cisco
CHSM= Coho salmon
CARP= Common carp
CMPT= Common map turtle
CMKT= Common musk turtle
CMSN= Common shiner
CSNT= Common snapping turtle
CKCB= Creek chub
CKCS= Creek chubsucker
CLDR= Crystal darter
CPDR= Cypress darter
DWSP= Deepwater sculpin
DYDR= Dusky darter
ESDR= Eastern sand darter
ERSN= Emerald shiner
FMPT= False Map Turtle
FTDR= Fantail darter
FHMW= Fathead minnow
FHCF= Flathead catfish
FHCB= Flathead chub
FLER= Flier
FKMT= Freckled madtom
FWDM= Freshwater drum
GTSN= Ghost shiner
GZSD= Gizzard shad
GLSH= Glass shrimp
GDRH= Golden redhorse
GDSN= Golden shiner
GDEY= Goldeye
GDFH= Goldfish
GSCP= Grass carp
GSPK= Grass pickerel
GVCB= Gravel chub
GTRH= Greater redhorse
GSBG= Green or bluegill sunfish
GSLE= Green or longear sunfish
GSOS= Green or orangespotted sunfish
GSPS= Green or pumpkinseed sunfish
GSRS= Green or redear sunfish
GSWM= Green or warmouth sunfish
GNSF= Green sunfish

GN*?= Green sunfish x unknown
GSDR= Greenside darter
HQDR= Harlequin darter
HFCS= Highfin carpsucker
HHCB= Hornyhead chub
IMDT= Illinois mud turtle
IDSS= Inland silverside
IODR= Iowa darter
ICSN= Ironcolor shiner
JYDR= Johnny darter
LKCB= Lake chub
LKCS= Lake chubsucker
LKSG= Lake sturgeon
LMBS= Largemouth bass
LSSR= Largescale stoneroller
LRVL= Larval fish
LBLP= Least brook lamprey
LTDR= Least darter
LGPH= Logperch
LESF= Longear sunfish
LNDC= Longnose dace
LNGR= Longnose gar
LNST= Longnose or spotted gar (hybrid)
LNSK= Longnose sucker
MPTT= Midland painted turtle
SMSS= Midland smooth softshell
MMSN= Mimic shiner
MMPT= Mississippi map turtle
MSSS= Mississippi silverside
SVMW= Mississippi silvery minnow
MNEY= Mooneye
MDSP= Mottled sculpin
MTMT= Mountain madtom
MDDR= Mud darter
MSKG= Muskellunge
NSSB= Ninespine stickleback
NFSH= No fish caught
NBLP= Northern brook lamprey
NHSK= Northern hog sucker
NTMT= Northern madtom
NTPK= Northern pike
NRBD= Northern redbelly dace
NTSF= Northern studfish
OHSH= Ohio shrimp
OSLE= Orangespotted or longear sunfish
OSSF= Orangespotted sunfish
OTDR= Orangethroat darter
OMPT= Ouachita map turtle
OZMW= Ozark minnow
PDFH= Paddlefish
PDSN= Pallid shiner

PDSG= Pallid sturgeon
PLDC= Pearl dace
PRPH= Pirate perch
PNMW= Plains minnow
PGMW= Pugnose minnow
PNSN= Pugnose shiner
PNSD= Pumpkinseed
PSBG= Pumpkinseed or bluegill
PSOS= Pumpkinseed x orangespotted sunfish
PSWM= Pumpkinseed or warmouth
QLBK= Quillback
RBDR= Rainbow darter
RBST= Rainbow smelt
RBTT= Rainbow trout
RESL= Red-eared slider
RDSN= Red shiner
RESF= Redear sunfish
RSWM= Redear sunfish x warmouth
RFSN= Redfin shiner
RBSN= Ribbon shiner
RVCS= River carpsucker
RVCB= River chub
RCOT= River cooter
RRDR= River darter
RVRH= River redhorse
RVSN= River shiner
RKBS= Rock bass
RSSN= Rosefin shiner
RYSN= Rosyface shiner
RUDD= Rudd
SNSN= Sand shiner
SGER= Sauger
SGWE= Sauger x walleye hybrid
SELP= Sea lamprey
SWBS= Shadow bass
SHRH= Shorthead redhorse
SNGR= Shortnose gar
SNPD= Shovelnose x pallid sturgeon
SNSG= Shovelnose sturgeon
SFCB= Sicklefin chub
SVCP= Silver carp
SVCB= Silver chub
SVLP= Silver lamprey
SVRH= Silver redhorse
SBSN= Silverband shiner
SJMW= Silverjaw minnow
SJHR= Skipjack herring
SDMT= Slender madtom
SHDR= Slenderhead darter
SYSP= Slimy sculpin
SLDR= Slough darter
SMBS= Smallmouth bass
SMBF= Smallmouth buffalo
SRBD= Southern redbelly dace
SKCB= Speckled chub
SPSS= Spiny softshell
SFSN= Spotfin shiner
SPDR= Spottail darter
STSN= Spottail shiner
STBS= Spotted bass
STGR= Spotted gar
SPSK= Spotted sucker
STSF= Spotted sunfish
SGCF= Spring cavefish
SHTM= Starhead topminnow
SCSN= Steelcolor shiner
STCT= Stonecat
SDBS= Striped bass
SPMT= Striped mullet
SBWB= Striped or white bass
SPSN= Striped shiner
STDR= Stripetail darter
SGCB= Sturgeon chub
SMMW= Suckermouth minnow
TPMT= Tadpole madtom
TFSD= Threadfin shad
MGNP= Tiger muskellunge
TTPH= Trout perch
UNID= Unidentified
U-ET= Unidentified Etheostoma
U-IL= Unidentified lctalurus (replacing U-IC)
U-CL= Unidentified shad
U-HI= Unidentified Hionidae
U-LS= Unidentified gar
U-LP= Unidentified Lepomis
U-MO= Unidentified Morone
U-NT= Unidentified Noturus
U-PC= Unidentified Percidae
U-PN= Unidentified Percina
U-PM= Unidentified Pimephales
U-ST= Unidentified Stizostedion
U-BF= Unidentified buffalo
U-BH= Unidentified bullhead
U-CS= Unidentified carpsucker
U-HY= Unidentified chub
U-DR= Unidentified darter
U-LY= Unidentified lamprey
U-CY= Unidentified minnow
U-RH= Unidentified redhorse
U-NO= Unidentified shiner
U-SG= Unidentified sturgeon
U-CT= Unidentified sucker
U-CN= Unidentified sunfish
WLYE= Walleye
WRMH= Warmouth
WDSN= Weed shiner
MQTF= Western mosquitofish
WPTT= Western painted turtle
WSDR= Western sand darter
WSMW= Western silvery minnow
WTBS= White bass
WTCF= White catfish
WTCP= White carppie
WTPH= White perch
WTSK= White sucker
WODT= Wood turtle
YWBS= Yellow bass
YLBH= Yellow bullhead
YWPH= Yellow perch
