common_name,genus,species,trophic_guild
Chestnut lamprey,Ichthyomyzon,Ichthyomizon castaneus,NA
Moxostoma spp,Mosostoma,NA,NA
Northern hog sucker,Hypentelium,Hypentelium nigricans,NA
Lamprey family,NA,NA,NA
Northern hogsucker,Hypentelium,Hypentelium nigricans,NA
Threadfin shad,Dorosoma,Dorosoma petenense,NA
Golden shiner,Notemigonus,Notemigonus crysoleucas,NA
White perch,Morone,Morone americana,NA
Pumpkinseed,Lepomis,Lepomis gibbosus,NA
Green sunfish,Lepomis,Lepomis cyanellus,NA
Yellow bullhead,Ameiurus,Ameiurus natalis,NA
Black bullhead,Ameiurus,Ameiurus melas,NA
NA,NA,NA,NA
Brown bullhead,Ameiurus,Ameiurus nebulosus,NA
American eel,Anguilla,Anguilla rostrata,NA
Grass pickerel,Esox,Esox americanus,NA
Bighead carp,Hypophthalmichthys,Hypophthalmichthys nobilis,NA
Northern pike,Esox,Esox lucius,NA
Paddlefish,NA,NA,NA
Brook silverside,Labidesthes,Labidesthes sicculus,NA
Stonecat,Noturus,Noturus flavus,NA
