common_name,genus,species,trophic_guild
American eel,Anguilla,Anguilla rostrata,Omnivore
Bighead carp,Hypophthalmichthys,Hypophthalmichthys nobilis,Planktivore
Black bullhead,Ameiurus,Ameiurus melas,Omnivore
Brook silverside,Labidesthes,Labidesthes sicculus,NA
Brown bullhead,Ameiurus,Ameiurus nebulosus,Omnivore
Chestnut lamprey,Ichthyomyzon,Ichthyomizon castaneus,Parasite
Golden shiner,Notemigonus,Notemigonus crysoleucas,NA
Grass pickerel,Esox,Esox americanus,NA
Green sunfish,Lepomis,Lepomis cyanellus,NA
Lamprey family,NA,NA,NA
Moxostoma spp,Mosostoma,NA,NA
Northern hog sucker,Hypentelium,Hypentelium nigricans,Detritivore
Northern hogsucker,Hypentelium,Hypentelium nigricans,Detritivore
Northern pike,Esox,Esox lucius,Piscivore
Paddlefish,NA,NA,Planktivore
Pumpkinseed,Lepomis,Lepomis gibbosus,Invertivore
Stonecat,Noturus,Noturus flavus,Invertivore
Threadfin shad,Dorosoma,Dorosoma petenense,NA
White perch,Morone,Morone americana,NA
Yellow bullhead,Ameiurus,Ameiurus natalis,Omnivore
