OBS,Date,Year,Pool,Pool Order,SiteDescription,CarpSighted,Gear,CommonName,MetricLength,Log2Length,Log2SC,MetricWeight,Family,Genus,Species,TrophicGuild
4244,10/5/2016,2016,McAlpine,2,MCALO02,FALSE,Boat Electrofishing,BlackCrappie,284.48,8.152183419,8,354.6246069,Centrarchidae,Pomoxis,nigromaculatus,Piscivore
7889,11/17/2017,2017,RC Byrd,6,RCBUM02,FALSE,Boat Electrofishing,GizzardShad,240.0001296,7.906891375,7.5,10.00015632,Clupeidae,Dorosoma,cepedianum,Herbivore
6923,10/22/2015,2015,McAlpine,2,MCAUP01,FALSE,Boat Electrofishing,SkipjackHerring,243.84,7.929790998,7.5,10.4328,Clupeidae,Alosa,chrysochloris,Piscivore
4308,10/6/2016,2016,McAlpine,2,MCAUM04,TRUE,Boat Electrofishing,LargemouthBass,314.96,8.299024807,8,13.608,Centrarchidae,Micropterus,salmoides,Piscivore
3804,10/17/2017,2017,Markland,3,MARLM01,FALSE,Boat Electrofishing,LargemouthBass,218.44,7.771093252,7.5,18.144,Centrarchidae,Micropterus,salmoides,Piscivore
4122,11/4/2015,2015,Markland,3,MARUM07,FALSE,Boat Electrofishing,LongearSunfish,1016,9.988684687,9.5,18.144,Centrarchidae,Lepomis,megalotis,Invertivore
9649,10/20/2015,2015,McAlpine,2,MCALM02,FALSE,Boat Electrofishing,Sauger,213.36,7.73714592,7.5,18.144,Percidae,Sander,canadensis,Piscivore
10455,11/6/2017,2017,RC Byrd,6,RCBLM06,FALSE,Boat Electrofishing,FreshwaterDrum,192.0001037,7.58496328,7.5,20.00031264,Sciaenidae,Aplodinotus,grunniens,Invertivore
1380,10/16/2017,2017,Markland,3,MARLM07,FALSE,Boat Electrofishing,GoldenRedhorse,187.96,7.554281863,7.5,27.216,Catostomidae,Moxostoma,erythrurum,Invertivore
6085,10/19/2017,2017,Markland,3,MARUM02,FALSE,Boat Electrofishing,SkipjackHerring,190.5,7.573647187,7.5,27.216,Clupeidae,Alosa,chrysochloris,Piscivore
9746,11/6/2017,2017,RC Byrd,6,RCBLM06,FALSE,Boat Electrofishing,Sauger,305.0001647,8.252666212,8,28.0004377,Percidae,Sander,canadensis,Piscivore
10543,11/9/2016,2016,RC Byrd,6,RCBUM04,FALSE,Boat Electrofishing,FreshwaterDrum,299.72,8.227471546,8,31.752,Sciaenidae,Aplodinotus,grunniens,Invertivore
9771,10/6/2016,2016,McAlpine,2,MCAUM01,FALSE,Boat Electrofishing,LampreyFamily,254,7.988684687,7.5,31.752,Petromyzontidae,NA,NA,NA
3776,11/17/2016,2016,Greenup,5,GRUR01,FALSE,Boat Electrofishing,LargemouthBass,281.94,8.139244363,8,31.752,Centrarchidae,Micropterus,salmoides,Piscivore
1906,11/1/2017,2017,McAlpine,2,MCALM02,FALSE,Boat Electrofishing,WhiteSucker,305.0001647,8.252666212,8,34.00053149,Catostomidae,Catostomus,commersonii,Detritivore
7736,11/10/2015,2015,Meldahl,4,RCBLM07,FALSE,Boat Electrofishing,GizzardShad,259.08,8.017253839,8,40.824,Clupeidae,Dorosoma,cepedianum,Herbivore
9133,10/20/2015,2015,McAlpine,2,MCALM06,FALSE,Boat Electrofishing,LongnoseGar,287.02,8.165007459,8,40.824,Lepisosteidae,Lepisosteus,osseus,Piscivore
9688,11/9/2015,2015,Meldahl,4,MELLO01,FALSE,Boat Electrofishing,Sauger,182.88,7.514753498,7.5,40.824,Percidae,Sander,canadensis,Piscivore
6693,10/6/2020,2020,McAlpine,2,MCALO04,FALSE,Boat Electrofishing,SkipjackHerring,182.88,7.514753498,7.5,40.824,Clupeidae,Alosa,chrysochloris,Piscivore
6802,10/6/2016,2016,McAlpine,2,MCAUM02,FALSE,Boat Electrofishing,SkipjackHerring,193.04,7.59275601,7.5,40.824,Clupeidae,Alosa,chrysochloris,Piscivore
6859,10/21/2015,2015,McAlpine,2,MCAUM05,FALSE,Boat Electrofishing,SkipjackHerring,218.44,7.771093252,7.5,40.824,Clupeidae,Alosa,chrysochloris,Piscivore
8328,10/28/2019,2019,Markland,3,MARLM08,FALSE,Boat Electrofishing,CommonCarp,322.58,8.333513184,8,41.2776,Cyprinidae,Cyprinus,carpio,Detritivore
6071,11/4/2015,2015,Markland,3,MARUM01,FALSE,Boat Electrofishing,Alewife,185.42,7.534653056,7.5,45.36,Clupeidae,Alosa,pseudoharengus,Planktivore
10069,11/5/2018,2018,Greenup,5,GRUM14,FALSE,Boat Electrofishing,FreshwaterDrum,182.88,7.514753498,7.5,45.36,Sciaenidae,Aplodinotus,grunniens,Invertivore
4744,11/2/2016,2016,Cannelton,1,CANLM02,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
4763,10/23/2018,2018,Cannelton,1,CANLM03,TRUE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
5018,10/6/2020,2020,Cannelton,1,CANUM02,TRUE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
4864,10/22/2018,2018,Cannelton,1,CANLO02,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
5859,10/16/2017,2017,Markland,3,MARLO03,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
6013,10/16/2017,2017,Markland,3,MARLO06,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
7140,10/18/2018,2018,Meldahl,4,MELLM05,FALSE,Boat Electrofishing,GizzardShad,195.58,7.611615038,7.5,45.36,Clupeidae,Dorosoma,cepedianum,Herbivore
2048,10/25/2019,2019,McAlpine,2,MCALO02,FALSE,Boat Electrofishing,GoldenRedhorse,182.88,7.514753498,7.5,45.36,Catostomidae,Moxostoma,erythrurum,Invertivore
9694,11/9/2015,2015,Meldahl,4,MELLO03,FALSE,Boat Electrofishing,Sauger,185.42,7.534653056,7.5,45.36,Percidae,Sander,canadensis,Piscivore
9700,10/17/2018,2018,Meldahl,4,MELUM01,FALSE,Boat Electrofishing,Sauger,185.42,7.534653056,7.5,45.36,Percidae,Sander,canadensis,Piscivore
6269,11/6/2019,2019,Markland,3,MARUP02,FALSE,Boat Electrofishing,SkipjackHerring,182.88,7.514753498,7.5,45.36,Clupeidae,Alosa,chrysochloris,Piscivore
6294,10/16/2017,2017,Markland,3,MARUP04,TRUE,Boat Electrofishing,SkipjackHerring,190.5,7.573647187,7.5,45.36,Clupeidae,Alosa,chrysochloris,Piscivore
3525,10/13/2020,2020,Cannelton,1,CANLO05,TRUE,Boat Electrofishing,WhiteCrappie,185.42,7.534653056,7.5,45.36,Centrarchidae,Pomoxis,annularis,Piscivore
5182,11/13/2017,2017,Greenup,5,GRELM03,FALSE,Boat Electrofishing,GizzardShad,182.0000983,7.507795419,7.5,46.00071907,Clupeidae,Dorosoma,cepedianum,Herbivore
5265,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,187.000101,7.546895239,7.5,46.00071907,Clupeidae,Dorosoma,cepedianum,Herbivore
5348,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,189.0001021,7.562243203,7.5,46.00071907,Clupeidae,Dorosoma,cepedianum,Herbivore
6689,11/2/2017,2017,McAlpine,2,MCALO04,FALSE,Boat Electrofishing,GizzardShad,182.0000983,7.507795419,7.5,47.0007347,Clupeidae,Dorosoma,cepedianum,Herbivore
7049,10/31/2017,2017,McAlpine,2,MCAUP05,FALSE,Boat Electrofishing,GizzardShad,181.0000977,7.499846666,7.5,48.00075034,Clupeidae,Dorosoma,cepedianum,Herbivore
6569,11/1/2017,2017,McAlpine,2,MCALM06,FALSE,Boat Electrofishing,GizzardShad,186.0001004,7.53915959,7.5,48.00075034,Clupeidae,Dorosoma,cepedianum,Herbivore
6370,11/1/2017,2017,McAlpine,2,MCALM01,FALSE,Boat Electrofishing,GizzardShad,181.0000977,7.499846666,7.5,49.00076597,Clupeidae,Dorosoma,cepedianum,Herbivore
7441,10/29/2018,2018,RC Byrd,6,MELUM06,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
5833,10/10/2016,2016,Markland,3,MARLO03,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
7443,10/29/2018,2018,RC Byrd,6,MELUM06,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
7296,11/20/2017,2017,Meldahl,4,MELLO04,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
7107,10/18/2018,2018,Meldahl,4,MELLM04,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
7336,11/20/2017,2017,Meldahl,4,MELLO05,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
7161,10/18/2018,2018,Meldahl,4,MELLM06,FALSE,Boat Electrofishing,GizzardShad,208.28,7.702380502,7.5,49.896,Clupeidae,Dorosoma,cepedianum,Herbivore
